n,time,category
101,8,odd
103,2,odd
107,1,odd
109,2,odd
113,2,odd
127,2,odd
131,1,odd
137,2,odd
139,2,odd
149,1,odd
151,2,odd
157,2,odd
163,1,odd
167,1,odd
173,2,odd
179,2,odd
181,2,odd
191,2,odd
193,2,odd
197,2,odd
199,2,odd
1009,4,odd
1013,4,odd
1019,4,odd
1021,4,odd
1031,3,odd
1033,4,odd
1039,3,odd
1049,4,odd
1051,4,odd
1061,3,odd
1063,4,odd
1069,4,odd
1087,4,odd
1091,3,odd
1093,4,odd
1097,4,odd
10007,11,odd
10009,11,odd
10037,11,odd
10039,11,odd
10061,10,odd
10067,10,odd
10069,11,odd
10079,10,odd
10091,11,odd
10093,11,odd
10099,11,odd
100003,32,odd
100019,32,odd
100043,33,odd
100049,33,odd
100057,33,odd
100069,32,odd
1000003,103,odd
1000033,103,odd
1000037,112,odd
1000039,114,odd
1000081,102,odd
1000099,102,odd
10000019,324,odd
10000079,323,odd
100000007,1022,odd
100000037,1022,odd
100000039,1013,odd
100000049,1008,odd
100000073,969,odd
100000081,1005,odd
1000000007,3060,odd
1000000009,3131,odd
1000000021,3065,odd
1000000033,3019,odd
1000000087,3122,odd
1000000093,3134,odd
1000000097,3189,odd
