x,value,function
0.0,1.0,normal
0.1,1.094837581924854,normal
0.2,1.1787359086363027,normal
0.3,1.2508566957869456,normal
0.4,1.3104793363115357,normal
0.5,1.3570081004945758,normal
0.6,1.3899780883047137,normal
0.7,1.4090598745221796,normal
0.8,1.4140628002466884,normal
0.9,1.4049368778981477,normal
1.0,1.3817732906760363,normal
0.0,0.9999999999666667,smoothed
0.1,1.0948375818883593,smoothed
0.2,1.1787359085970117,smoothed
0.3,1.2508566957452503,smoothed
0.4,1.3104793362678528,smoothed
0.5,1.357008100449342,smoothed
0.6,1.389978088258381,smoothed
0.7,1.4090598744752107,smoothed
0.8,1.414062800199553,smoothed
0.9,1.4049368778513165,smoothed
1.0,1.3817732906299771,smoothed
