n,time,category
101,9,normal
103,3,normal
107,2,normal
109,2,normal
113,2,normal
127,3,normal
131,2,normal
137,3,normal
139,3,normal
149,2,normal
151,3,normal
157,3,normal
163,3,normal
167,2,normal
173,2,normal
179,3,normal
181,2,normal
191,3,normal
193,3,normal
197,3,normal
199,3,normal
1009,7,normal
1013,7,normal
1019,6,normal
1021,6,normal
1031,7,normal
1033,6,normal
1039,7,normal
1049,7,normal
1051,7,normal
1061,7,normal
1063,7,normal
1069,6,normal
1087,7,normal
1091,7,normal
1093,7,normal
1097,7,normal
10007,20,normal
10009,20,normal
10037,20,normal
10039,20,normal
10061,20,normal
10067,20,normal
10069,20,normal
10079,21,normal
10091,20,normal
10093,21,normal
10099,20,normal
100003,63,normal
100019,64,normal
100043,63,normal
100049,63,normal
100057,63,normal
100069,74,normal
1000003,200,normal
1000033,199,normal
1000037,199,normal
1000039,199,normal
1000081,207,normal
1000099,199,normal
10000019,652,normal
10000079,631,normal
100000007,1991,normal
100000037,1953,normal
100000039,1907,normal
100000049,1889,normal
100000073,1838,normal
100000081,1934,normal
1000000007,6130,normal
1000000009,5992,normal
1000000021,6109,normal
1000000033,6041,normal
1000000087,5853,normal
1000000093,6034,normal
1000000097,6126,normal
101,8,odd
103,2,odd
107,1,odd
109,2,odd
113,2,odd
127,2,odd
131,1,odd
137,2,odd
139,2,odd
149,1,odd
151,2,odd
157,2,odd
163,1,odd
167,1,odd
173,2,odd
179,2,odd
181,2,odd
191,2,odd
193,2,odd
197,2,odd
199,2,odd
1009,4,odd
1013,4,odd
1019,4,odd
1021,4,odd
1031,3,odd
1033,4,odd
1039,3,odd
1049,4,odd
1051,4,odd
1061,3,odd
1063,4,odd
1069,4,odd
1087,4,odd
1091,3,odd
1093,4,odd
1097,4,odd
10007,11,odd
10009,11,odd
10037,11,odd
10039,11,odd
10061,10,odd
10067,10,odd
10069,11,odd
10079,10,odd
10091,11,odd
10093,11,odd
10099,11,odd
100003,32,odd
100019,32,odd
100043,33,odd
100049,33,odd
100057,33,odd
100069,32,odd
1000003,103,odd
1000033,103,odd
1000037,112,odd
1000039,114,odd
1000081,102,odd
1000099,102,odd
10000019,324,odd
10000079,323,odd
100000007,1022,odd
100000037,1022,odd
100000039,1013,odd
100000049,1008,odd
100000073,969,odd
100000081,1005,odd
1000000007,3060,odd
1000000009,3131,odd
1000000021,3065,odd
1000000033,3019,odd
1000000087,3122,odd
1000000093,3134,odd
1000000097,3189,odd
101,56,fermat
103,46,fermat
107,27,fermat
109,27,fermat
113,23,fermat
127,28,fermat
131,25,fermat
137,24,fermat
139,28,fermat
149,27,fermat
151,27,fermat
157,28,fermat
163,25,fermat
167,27,fermat
173,27,fermat
179,27,fermat
181,28,fermat
191,30,fermat
193,24,fermat
197,26,fermat
199,27,fermat
1009,34,fermat
1013,36,fermat
1019,37,fermat
1021,44,fermat
1031,33,fermat
1033,32,fermat
1039,45,fermat
1049,32,fermat
1051,34,fermat
1061,44,fermat
1063,34,fermat
1069,34,fermat
1087,37,fermat
1091,32,fermat
1093,33,fermat
1097,33,fermat
10007,45,fermat
10009,44,fermat
10037,45,fermat
10039,53,fermat
10061,45,fermat
10067,45,fermat
10069,45,fermat
10079,47,fermat
10091,46,fermat
10093,47,fermat
10099,46,fermat
100003,53,fermat
100019,53,fermat
100043,56,fermat
100049,79,fermat
100057,63,fermat
100069,53,fermat
1000003,60,fermat
1000033,60,fermat
1000037,61,fermat
1000039,64,fermat
1000081,60,fermat
1000099,62,fermat
10000019,71,fermat
10000079,74,fermat
100000007,84,fermat
100000037,84,fermat
100000039,86,fermat
100000049,84,fermat
100000073,84,fermat
100000081,84,fermat
1000000007,91,fermat
1000000009,91,fermat
1000000021,91,fermat
1000000033,91,fermat
1000000087,94,fermat
1000000093,94,fermat
1000000097,93,fermat
